cod_linha,parecer,nome_linha,intervalo_entre_partidas_min_9
602,Eliminada,Parque Pio XII / Ana Goncalves,
603,Mantida,Jardim União / Centro,9.1
604,Seccionada,Dias Macedo / Centro,60
605,Seccionada,José Walter / BR 116 / Av. I,60
606,Mantida,José Walter / BR 116 / Av. N,5.4
610,Seccionada,Cidade dos Funcionários / Conj. Alvorada,8.1
611,Seccionada,Cidade Funcionários / Cofeco / Lago Jacarey,15.1
612,Seccionada,Conj. Tancredo Neves / Novo Lagamar,60
613,Seccionada,Barroso / Jardim Violeta,41.8
616,Mantida,Lagoa Redonda I,15.2
617,Mantida,Lagoa Redonda / Abreulândia,11.8
619,Mantida,Paupina,8.4
621,Mantida,Pedras I,37.7
622,Mantida,Pedras II,32.5
625,Seccionada,Parque Manibura / Borges Melo,60
626,Mantida,Lagoa Redonda II,16.3
627,Seccionada,Lagoa Redonda / Papicu,60
628,Mantida,Sítio São João / Santa Maria,29.5
629,Mantida,Conj. Palmeiras / Perimetral,5.2
630,Mantida,Itamaraty / Elizabeth II,17.5
631,Mantida,Carlos Albuquerque,6.9
632,Mantida,Alto Alegre / Messejana,27.8
633,Seccionada,Passaré / Centro,60
634,Eliminada,Lagoa Redonda / Abreulândia / Esquerda,
635,Mantida,Conj. Tamandaré,11
636,Mantida,Conj. Palmeiras / Parque Santa Maria,13.3
637,Mantida,Conj. Maria Tomásia / Santa Filomena,8.4
639,Mantida,Planalto Coaçu / Messejana (STPC),60
640,Seccionada,Conj. Alvorada / Messejana,40.8
641,Mantida,Guajerú I,60
642,Mantida,Guajerú II,60
643,Mantida,Barroso Circular,27.3
644,Eliminada,Lagoa Redonda / Abreulândia / Litorânea,
645,Mantida,João Paulo II,36.5
646,Mantida,São Cristóvão,39.1
648,Mantida,Cidade Nobre / Messejana,4.2
650,Mantida,Messejana / Centro / Br Nova / Expresso,3.3
653,Mantida,Santa Fé,29.7
655,Mantida,Passaré / Messejana,16.8
656,Eliminada,Messejana / Sabiaguaba / Direita,
657,Mantida,Messejana / Sabiaguaba / Esquerda,35.2
660,Seccionada,Conj. Palmeiras / Centro,16.5
663,Eliminada,Gereberaba / Messejana,
666,Seccionada,Jardim Castelão,60
668,Eliminada,Parque Betânia / Messejana,
670,Eliminada,Sítio São João / Centro,
676,Mantida,Curió,28.1
678,Mantida,José Walter / Orgulho do Ceará,60
679,Mantida,José Walter / Cidade Jardim,60
680,Mantida,José Walter / Papicu / Cidade Jardim,6.1
681,Mantida,Alameda das Palmeiras,36.9
685,Eliminada,Messejana / Rodoviária,60
686,Mantida,São Bernardo,4
690,Eliminada,Parque Santa Maria / Messejana,
696,Mantida,Curió / Messejana,60
699,Mantida,Cidade Jardim / Messejana,26.1
701,Mantida,Parque Americano,12.1
702,Mantida,Av. Antônio Sales / Dionísio Torres,60
703,Seccionada,Paupina/Pici (STPC),4.9
706,Seccionada,Barra do Ceará / Antônio Bezerra (STPC),60
709,Eliminada,Conj. Ceará / Centro (STPC),
710,Seccionada,Conj. Ceará / Bonsucesso / Centro (STPC),60
711,Eliminada,Barra do Ceará / Cais do Porto,
712,Eliminada,Conjunto Palmeiras / Papicu (STPC),
713,Seccionada,Santos Dumont / Perimetral (STPC),23.2
725,Eliminada,Parque Santa Maria / Liceu (STPC),
728,Seccionada,José Walter / Centro (STPC),60
753,Eliminada,Cidade 2000 / Sargento Herminio (STPC),
754,Seccionada,Granja Lisboa / Goiabeiras (STPC),60
755,Eliminada,Conjunto Alvorada / North Shopping (STPC),
757,Eliminada,Vila Velha / Centro (STPC),
762,Eliminada,Caça e Pesca / Centro / IE (STPC),
804,Mantida,Aldeota,7.1
806,Seccionada,Edson Queiroz / Papicu,41.4
810,Mantida,Papicu / Praia do Futuro,8.1
813,Eliminada,Papicu / Praia do Futuro II,
814,Mantida,Papicu / Castelo Encantado,19.4
815,Mantida,Messejana / Papicu / Conj. Tancredo Neves,15.6
816,Eliminada,Edson Queiroz / Centro,
820,Eliminada,Papicu / Conj. Alvorada,
823,Eliminada,Bom Jardim / Montese / Aldeota,
825,Mantida,Cidade Func. / Papicu / Jardim das Oliveiras,60
831,Eliminada,Papicu / H. Geral / Cidade 2000,
832,Mantida,Papicu / Cidade 2000,16.5
833,Seccionada,Cidade 2000 / Centro,42.4
835,Mantida,Defensoria / Papicu / Via Câmara,60
836,Mantida,Conj. Dona Yolanda Queiroz,47
841,Mantida,HGF / Papicu / Riomar,60
855,Mantida,Bezerra de Menezes / Washington Soares,5.5
901,Eliminada,Dom Luiz,
903,Mantida,Varjota,60
905,Seccionada,Meireles / Centro,7.6
906,Mantida,Caça e Pesca / Serviluz / Centro,31.4
907,Eliminada,Castelo Encantado / Centro,
909,Eliminada,Praia do Futuro / Caça e Pesca / Beira Mar,
913,Mantida,Papicu / Serviluz / Varjota 1,6.1
917,Eliminada,Aeroporto / Beira Mar,
920,Mantida,Papicu / Caça e Pesca,9.2
